Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;991.7;991.7;990.9;;23.0;22.0;23.1;22.9;22.0;21.8;94.0;93.0;94.0;190.0;0.0;0.0
2020/01/01;0100 UTC;0.0;992.7;992.7;991.7;;23.1;22.2;23.1;22.8;22.2;21.8;95.0;94.0;95.0;163.0;0.0;0.0
2020/01/01;0200 UTC;0.0;993.1;993.1;992.7;;22.8;21.9;23.2;22.8;22.3;21.9;95.0;95.0;95.0;229.0;0.0;0.0
2020/01/01;0300 UTC;0.0;992.6;993.1;992.6;;22.4;21.5;22.8;22.4;21.9;21.5;95.0;95.0;95.0;67.0;0.0;0.0
2020/01/01;0400 UTC;0.0;992.1;992.6;992.1;;22.4;21.6;22.6;22.3;21.7;21.5;95.0;95.0;95.0;301.0;0.0;0.0
2020/01/01;0500 UTC;0.0;991.6;992.1;991.5;;22.2;21.4;22.5;22.1;21.7;21.4;95.0;95.0;95.0;233.0;0.0;0.0
2020/01/01;0600 UTC;0.0;991.2;991.6;991.2;;22.1;21.4;22.3;22.0;21.5;21.3;95.0;95.0;95.0;127.0;0.0;0.0
2020/01/01;0700 UTC;0.0;990.9;991.2;990.9;;22.0;21.2;22.2;22.0;21.5;21.2;96.0;95.0;96.0;269.0;0.0;0.0
2020/01/01;0800 UTC;0.0;991.2;991.2;990.9;;21.9;21.2;22.1;21.9;21.4;21.2;96.0;96.0;96.0;344.0;0.0;0.0
2020/01/01;0900 UTC;0.0;991.3;991.4;991.1;;22.0;21.3;22.1;21.9;21.4;21.1;96.0;96.0;96.0;120.0;0.0;0.0
2020/01/01;1000 UTC;0.0;991.9;991.9;991.3;186.3;22.7;21.9;22.8;21.9;22.0;21.2;96.0;96.0;96.0;122.0;0.0;0.0
2020/01/01;1100 UTC;0.0;992.4;992.4;991.9;786.1;25.2;23.1;25.2;22.5;23.8;21.8;96.0;88.0;88.0;154.0;0.0;0.0
2020/01/01;1200 UTC;0.0;992.9;992.9;992.4;1152.3;25.5;22.4;25.9;24.6;23.9;22.2;89.0;83.0;83.0;303.0;0.7;0.0
2020/01/01;1300 UTC;0.0;993.2;993.2;992.9;2385.1;28.6;23.5;28.8;25.5;24.7;22.6;85.0;73.0;74.0;290.0;2.1;0.0
2020/01/01;1400 UTC;0.0;992.7;993.2;992.7;3044.1;29.8;23.4;30.4;28.4;24.7;22.9;77.0;66.0;69.0;61.0;0.0;0.0
2020/01/01;1500 UTC;0.0;992.3;992.7;992.3;3449.5;31.1;23.1;31.9;29.8;25.2;22.5;71.0;59.0;63.0;318.0;0.0;0.0
2020/01/01;1600 UTC;0.0;991.4;992.3;991.4;2848.4;31.6;23.7;32.2;30.3;24.8;22.5;69.0;58.0;63.0;360.0;0.7;0.0
2020/01/01;1700 UTC;0.0;990.4;991.4;990.4;2473.9;31.7;23.9;32.8;31.0;25.3;22.0;69.0;56.0;64.0;313.0;3.9;0.0
2020/01/01;1800 UTC;0.0;989.0;990.4;989.0;2111.7;32.2;23.7;33.0;31.7;25.6;22.9;70.0;57.0;61.0;286.0;2.9;0.0
2020/01/01;1900 UTC;0.0;987.7;989.0;987.7;2480.4;32.0;24.9;33.2;31.7;25.8;22.8;69.0;57.0;66.0;274.0;3.9;0.0
2020/01/01;2000 UTC;0.0;987.2;987.8;987.2;1641.9;30.9;24.2;32.6;30.8;25.5;23.8;70.0;61.0;68.0;251.0;3.9;0.0
2020/01/01;2100 UTC;0.0;987.2;987.3;987.2;778.7;31.2;24.0;31.3;30.5;25.2;23.0;72.0;63.0;65.0;276.0;0.0;0.0
2020/01/01;2200 UTC;0.0;987.8;987.8;987.2;347.0;29.9;22.3;31.2;29.9;24.3;22.2;68.0;61.0;64.0;302.0;2.8;0.0
2020/01/01;2300 UTC;0.0;989.1;989.1;987.8;17.9;28.6;23.6;30.0;28.5;23.7;22.4;75.0;64.0;74.0;344.0;1.5;0.0
2020/01/02;0000 UTC;0.0;990.2;990.2;989.1;;27.7;24.2;28.7;27.6;24.7;23.5;83.0;74.0;81.0;343.0;2.0;0.0
2020/01/02;0100 UTC;0.0;991.0;991.0;990.2;;27.5;24.3;28.0;27.5;24.5;23.9;83.0;79.0;83.0;176.0;0.0;0.0
2020/01/02;0200 UTC;0.0;991.2;991.3;991.0;;26.9;22.8;27.6;26.9;24.7;22.8;86.0;77.0;78.0;188.0;3.0;0.0
2020/01/02;0300 UTC;0.0;990.9;991.3;990.8;;26.1;22.5;26.9;26.1;22.8;22.3;81.0;77.0;81.0;119.0;0.0;0.0
2020/01/02;0400 UTC;0.0;990.5;991.0;990.5;;25.3;23.1;26.1;25.3;23.3;22.4;88.0;81.0;88.0;208.0;0.0;0.0
2020/01/02;0500 UTC;0.0;989.7;990.6;989.7;;24.8;22.7;25.7;24.7;23.4;22.3;89.0;82.0;88.0;27.0;0.0;0.0
2020/01/02;0600 UTC;0.0;989.3;989.7;989.1;;24.5;22.8;24.8;24.4;23.1;22.7;91.0;88.0;91.0;47.0;0.0;0.0
2020/01/02;0700 UTC;0.0;989.3;989.3;989.1;;24.5;23.0;24.7;24.4;23.0;22.8;91.0;90.0;91.0;180.0;0.0;0.0
2020/01/02;0800 UTC;0.0;989.5;989.5;989.3;;24.0;22.8;24.5;24.0;22.9;22.7;93.0;91.0;93.0;133.0;0.0;0.0
2020/01/02;0900 UTC;0.0;990.1;990.1;989.5;;24.2;22.9;24.2;24.0;23.0;22.8;94.0;93.0;93.0;197.0;0.0;0.0
2020/01/02;1000 UTC;0.0;991.0;991.0;990.1;114.7;25.0;23.6;25.0;24.1;23.6;22.9;93.0;92.0;92.0;70.0;0.0;0.0
2020/01/02;1100 UTC;0.0;991.5;991.5;991.0;613.9;27.0;23.3;27.2;25.0;24.1;23.3;92.0;80.0;80.0;23.0;0.0;0.0
2020/01/02;1200 UTC;0.0;991.9;991.9;991.5;1561.3;29.6;23.5;30.0;27.0;24.2;22.6;82.0;66.0;70.0;205.0;0.0;0.0
2020/01/02;1300 UTC;0.0;992.3;992.3;991.9;2154.3;30.6;24.3;30.6;29.4;25.1;23.0;76.0;67.0;69.0;305.0;0.0;0.0
2020/01/02;1400 UTC;0.0;992.2;992.4;992.2;2608.9;32.2;24.4;32.3;30.3;25.5;23.6;73.0;61.0;64.0;140.0;0.0;0.0
2020/01/02;1500 UTC;0.0;991.4;992.2;991.3;3173.0;32.8;24.6;34.0;31.4;25.7;22.2;66.0;54.0;62.0;303.0;1.9;0.0
2020/01/02;1600 UTC;0.0;990.7;991.4;990.7;2898.9;33.4;23.5;33.6;32.0;25.0;22.0;64.0;52.0;56.0;255.0;1.9;0.0
2020/01/02;1700 UTC;6.0;991.7;991.8;990.5;917.4;23.7;22.0;33.9;23.6;24.3;21.2;91.0;51.0;90.0;219.0;11.8;0.4
2020/01/02;1800 UTC;0.4;989.9;991.7;989.9;704.4;25.7;22.4;25.7;23.7;22.7;22.1;91.0;82.0;82.0;136.0;6.0;0.0
2020/01/02;1900 UTC;0.0;989.1;990.0;989.1;1156.1;29.3;23.3;29.3;25.7;24.0;22.3;82.0;70.0;70.0;80.0;0.0;0.0
2020/01/02;2000 UTC;0.0;988.4;989.1;988.4;1904.5;31.3;21.3;32.4;29.3;24.8;21.3;72.0;54.0;55.0;158.0;0.0;0.0
2020/01/02;2100 UTC;0.0;988.5;988.6;988.3;1049.4;30.0;21.9;31.4;29.9;23.3;20.3;64.0;53.0;62.0;163.0;0.0;0.0
2020/01/02;2200 UTC;0.0;989.2;989.2;988.5;155.0;29.2;22.0;30.0;29.2;23.3;21.2;69.0;59.0;66.0;123.0;0.0;0.0
2020/01/02;2300 UTC;0.0;989.8;989.8;989.2;8.2;26.7;23.4;29.2;26.7;24.2;21.5;83.0;66.0;82.0;125.0;0.0;0.0
2020/01/03;0000 UTC;0.0;990.9;990.9;989.8;;26.9;23.4;26.9;26.0;24.5;23.3;91.0;81.0;81.0;311.0;0.0;0.0
2020/01/03;0100 UTC;0.0;991.5;991.5;990.9;;26.0;23.1;27.0;26.0;23.3;23.0;84.0;79.0;84.0;292.0;0.0;0.0
2020/01/03;0200 UTC;0.0;991.9;991.9;991.5;;25.3;23.2;26.0;25.2;23.3;22.8;89.0;84.0;88.0;150.0;0.0;0.0
2020/01/03;0300 UTC;0.0;991.7;991.9;991.7;;25.1;23.3;25.3;24.9;23.4;23.1;91.0;88.0;90.0;264.0;0.0;0.0
2020/01/03;0400 UTC;0.0;991.4;991.8;991.4;;24.5;22.8;25.1;24.5;23.3;22.8;90.0;89.0;90.0;287.0;0.0;0.0
2020/01/03;0500 UTC;0.0;991.3;991.4;991.2;;24.4;22.9;24.6;24.4;22.9;22.7;91.0;90.0;91.0;311.0;0.0;0.0
2020/01/03;0600 UTC;0.0;991.0;991.3;991.0;;24.0;22.8;24.4;24.0;22.9;22.7;93.0;91.0;93.0;331.0;0.0;0.0
2020/01/03;0700 UTC;0.0;991.0;991.1;990.9;;24.1;22.9;24.1;23.9;22.9;22.6;93.0;93.0;93.0;7.0;0.0;0.0
2020/01/03;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/03;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/04;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/04;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/04;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/04;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/05;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/05;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/05;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/05;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/05;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/06;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/06;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/06;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/06;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/06;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/06;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/07;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/07;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/07;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/07;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/07;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/07;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/08;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/08;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/08;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/08;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/08;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/08;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/09;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/09;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/09;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/09;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/09;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/09;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/10;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/10;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/10;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/10;1200 UTC;0.0;994.5;994.6;994.4;1051.5;29.6;23.2;29.9;28.3;24.2;22.7;74.0;67.0;69.0;334.0;;0.0
2020/01/10;1300 UTC;0.0;994.2;994.5;994.2;2306.6;31.2;24.4;31.3;29.6;25.0;23.1;71.0;65.0;67.0;329.0;4.7;0.0
2020/01/10;1400 UTC;0.0;994.0;994.3;994.0;2971.6;31.9;24.3;32.1;30.8;24.8;23.0;67.0;60.0;64.0;326.0;7.6;0.6
2020/01/10;1500 UTC;0.0;993.6;994.1;993.6;3390.3;32.7;23.7;32.7;31.8;24.8;22.7;66.0;57.0;59.0;345.0;8.2;0.4
2020/01/10;1600 UTC;0.0;992.9;993.6;992.9;3474.8;33.4;23.1;33.7;31.9;25.5;22.8;65.0;55.0;55.0;325.0;7.1;0.1
2020/01/10;1700 UTC;0.0;992.2;992.9;992.2;3295.7;32.9;23.7;34.2;32.5;25.0;22.5;62.0;52.0;59.0;8.0;5.3;0.1
2020/01/10;1800 UTC;0.0;991.0;992.2;991.0;2816.5;32.7;22.4;34.4;32.4;25.0;22.4;61.0;52.0;55.0;359.0;6.3;0.0
2020/01/10;1900 UTC;0.0;990.1;991.0;990.1;2391.4;34.1;23.6;34.3;32.2;24.7;22.4;61.0;49.0;54.0;329.0;6.5;0.0
2020/01/10;2000 UTC;0.0;989.3;990.1;989.3;2210.8;33.2;22.2;34.4;33.1;24.1;22.0;57.0;50.0;53.0;346.0;3.5;0.0
2020/01/10;2100 UTC;0.0;988.8;989.3;988.8;1212.1;32.9;22.2;33.5;32.6;23.8;21.7;58.0;51.0;53.0;346.0;6.4;0.0
2020/01/10;2200 UTC;0.0;989.2;989.2;988.8;305.2;32.2;22.4;32.9;32.1;23.0;22.1;58.0;53.0;56.0;354.0;0.0;0.0
2020/01/10;2300 UTC;0.0;989.5;989.5;989.2;34.3;30.5;22.7;32.3;30.5;22.9;22.3;63.0;56.0;63.0;2.0;0.0;0.0
2020/01/11;0000 UTC;0.0;989.9;989.9;989.5;;29.0;23.4;30.5;28.9;23.5;22.6;72.0;63.0;72.0;32.0;0.0;0.0
2020/01/11;0100 UTC;0.0;990.8;990.8;989.9;;28.2;23.6;29.0;28.2;23.8;23.4;77.0;72.0;76.0;48.0;0.0;0.0
2020/01/11;0200 UTC;0.0;991.2;991.2;990.8;;27.8;23.2;28.2;27.7;23.6;23.1;77.0;76.0;76.0;37.0;0.0;0.0
2020/01/11;0300 UTC;0.0;991.6;991.7;991.2;;27.4;23.8;27.8;27.4;23.8;23.0;81.0;76.0;81.0;97.0;0.0;0.0
2020/01/11;0400 UTC;0.0;991.5;991.7;991.5;;26.4;23.7;27.4;26.4;24.3;22.9;87.0;78.0;85.0;94.0;0.0;0.0
2020/01/11;0500 UTC;0.0;991.3;991.5;991.2;;26.4;23.7;26.6;26.2;24.1;23.3;88.0;83.0;85.0;354.0;0.0;0.0
2020/01/11;0600 UTC;0.0;991.1;991.4;991.1;;25.5;24.0;26.4;25.4;24.1;23.4;91.0;85.0;91.0;90.0;0.0;0.0
2020/01/11;0700 UTC;0.0;990.9;991.1;990.8;;25.3;23.8;26.0;25.3;24.2;23.3;92.0;85.0;91.0;81.0;0.0;0.0
2020/01/11;0800 UTC;0.0;991.0;991.2;990.9;;25.0;23.6;25.5;24.9;23.8;23.4;92.0;90.0;92.0;38.0;0.0;0.0
2020/01/11;0900 UTC;0.0;991.5;991.5;991.0;;25.4;23.5;25.4;25.0;24.0;23.5;93.0;89.0;89.0;317.0;0.0;0.0
2020/01/11;1000 UTC;0.0;992.8;992.8;991.5;133.1;26.5;24.2;26.5;25.3;24.4;23.5;91.0;87.0;87.0;319.0;0.0;0.0
2020/01/11;1100 UTC;0.0;993.8;993.8;992.8;484.3;28.4;24.9;28.4;26.5;25.0;23.5;88.0;76.0;81.0;330.0;0.0;0.0
2020/01/11;1200 UTC;0.0;994.3;994.3;993.8;1060.2;29.6;24.1;29.6;28.4;24.7;23.4;81.0;71.0;72.0;348.0;0.0;0.0
2020/01/11;1300 UTC;0.0;994.2;994.4;994.2;1900.9;30.8;24.8;31.0;29.3;25.5;23.4;74.0;67.0;70.0;356.0;0.0;0.0
2020/01/11;1400 UTC;0.0;994.2;994.4;994.2;2977.5;31.9;24.7;32.1;30.7;25.8;23.8;72.0;63.0;66.0;313.0;6.3;0.1
2020/01/11;1500 UTC;0.0;993.8;994.3;993.7;2597.4;32.3;24.8;32.5;31.7;25.9;24.2;70.0;62.0;65.0;317.0;6.3;0.0
2020/01/11;1600 UTC;0.0;993.2;993.8;993.2;2321.5;32.8;25.2;33.3;32.2;25.8;23.5;69.0;58.0;64.0;332.0;5.7;0.1
2020/01/11;1700 UTC;0.0;991.8;993.2;991.8;2967.8;34.3;25.0;34.6;32.1;26.3;23.5;65.0;56.0;58.0;288.0;5.7;0.0
2020/01/11;1800 UTC;0.0;990.6;991.8;990.6;3386.2;34.4;24.8;34.9;34.1;25.9;22.8;62.0;50.0;57.0;303.0;2.6;0.0
2020/01/11;1900 UTC;0.0;989.4;990.6;989.4;2656.2;34.5;24.4;34.8;33.4;25.6;22.8;62.0;49.0;56.0;295.0;3.3;0.0
2020/01/11;2000 UTC;0.0;989.0;989.4;989.0;1918.1;34.2;24.0;35.1;33.1;25.3;22.9;62.0;51.0;55.0;310.0;3.2;0.0
2020/01/11;2100 UTC;0.0;989.5;989.5;989.0;1071.9;32.6;23.6;34.6;32.5;24.9;22.2;61.0;50.0;59.0;320.0;2.3;0.0
2020/01/11;2200 UTC;0.0;990.4;990.4;989.5;234.9;30.3;24.0;32.7;30.3;25.1;22.8;71.0;56.0;69.0;276.0;2.6;0.0
2020/01/11;2300 UTC;0.0;991.1;991.1;990.4;7.6;29.1;24.4;30.4;29.0;25.2;23.9;79.0;68.0;76.0;35.0;0.0;0.0
2020/01/12;0000 UTC;0.0;991.3;991.3;991.0;;28.2;24.9;29.1;28.1;25.8;24.4;85.0;76.0;82.0;44.0;0.0;0.0
2020/01/12;0100 UTC;0.0;992.5;992.5;991.3;;28.5;24.3;28.8;28.2;24.9;24.3;82.0;77.0;78.0;36.0;0.0;0.0
2020/01/12;0200 UTC;0.0;992.9;992.9;992.5;;27.9;24.9;28.5;27.9;25.0;24.3;84.0;78.0;84.0;156.0;0.0;0.0
2020/01/12;0300 UTC;0.0;993.1;993.3;992.9;;27.8;25.5;28.0;27.7;25.6;24.9;88.0;84.0;87.0;122.0;0.0;0.0
2020/01/12;0400 UTC;0.0;992.6;993.1;992.5;;27.7;25.7;27.9;27.5;25.9;25.5;90.0;87.0;89.0;39.0;0.0;0.0
2020/01/12;0500 UTC;0.0;992.5;992.6;992.2;;27.8;25.8;28.1;27.7;25.8;25.5;89.0;86.0;89.0;130.0;0.0;0.0
2020/01/12;0600 UTC;0.0;993.0;993.0;992.5;;27.7;23.9;28.2;27.5;25.8;23.9;90.0;79.0;80.0;113.0;3.6;0.0
2020/01/12;0700 UTC;0.0;992.9;993.0;992.8;;26.9;23.8;27.7;26.9;24.0;23.8;84.0;80.0;83.0;117.0;3.6;0.0
